年	男性人口	女性人口	合計人口
1930	7020755	6751736	13772491
1935	7757344	7514329	15271673
1940	8539894	8326199	16866093
1945	6925506	7479348	14404854
1950	9028820	9213087	18241907
1955	10307838	10341592	20649430
1960	11562771	11440212	23002983
1965	13223172	12976962	26200134
1970	14901091	14594804	29495895
1975	16586779	16251691	32838470
1980	17581610	17315693	34897303
1985	18538263	18247245	36785508
1990	19469954	19073563	38543517
1995	19898759	19621299	39520058
2000	20298104	20135607	40433711
2005	20772180	20722656	41494836
2010	21228158	21375927	42604085
2015	21358449	21636582	42995031
